model name,t50_bld_igg,t60_bld_igg,t70_bld_igg,t80_bld_igg,t90_bld_igg,nseq_bld_igg
IGRP_WF_10_Kf_dist,0.188253012,0.152108434,0.085843373,0.057228916,0.043674699,664
IGRP_WF_11_Kf_dist,0.239457831,0.146084337,0.118975904,0.087349398,0.05873494,664
IGRP_WF_12_Kf_dist,0.173192771,0.137048193,0.108433735,0.039156627,0.018072289,664
IGRP_WF_13_Kf_dist,0.192771084,0.144578313,0.09186747,0.061746988,0.021084337,664
IGRP_WF_14_Kf_dist,0.105421687,0.064759036,0.051204819,0.036144578,0.012048193,664
IGRP_WF_15_Kf_dist,0.227409639,0.144578313,0.112951807,0.060240964,0.042168675,664
IGRP_WF_16_Kf_dist,0.173192771,0.134036145,0.088855422,0.049698795,0.016566265,664
IGRP_WF_17_Kf_dist,0.253012048,0.203313253,0.156626506,0.121987952,0.093373494,664
IGRP_WF_18_Kf_dist,0.137048193,0.11746988,0.097891566,0.034638554,0.012048193,664
IGRP_WF_19_Kf_dist,0.200301205,0.165662651,0.121987952,0.040662651,0.02560241,664
IGRP_WF_1_Kf_dist,0.234939759,0.186746988,0.144578313,0.09939759,0.069277108,664
IGRP_WF_20_Kf_dist,0.189759036,0.156626506,0.072289157,0.043674699,0.022590361,664
IGRP_WF_21_Kf_dist,0.233433735,0.182228916,0.097891566,0.061746988,0.03313253,664
IGRP_WF_22_Kf_dist,0.09939759,0.05873494,0.034638554,0.022590361,0.00753012,664
IGRP_WF_23_Kf_dist,0.118975904,0.073795181,0.042168675,0.018072289,0.006024096,664
IGRP_WF_24_Kf_dist,0.100903614,0.073795181,0.037650602,0.019578313,0.010542169,664
IGRP_WF_25_Kf_dist,0.280120482,0.230421687,0.185240964,0.079819277,0.051204819,664
IGRP_WF_26_Kf_dist,0.138554217,0.103915663,0.079819277,0.043674699,0.028614458,664
IGRP_WF_27_Kf_dist,0.271084337,0.230421687,0.167168675,0.084337349,0.045180723,664
IGRP_WF_28_Kf_dist,0.123493976,0.09939759,0.064759036,0.051204819,0.027108434,664
IGRP_WF_29_Kf_dist,0.209337349,0.161144578,0.079819277,0.043674699,0.022590361,664
IGRP_WF_2_Kf_dist,0.156626506,0.075301205,0.057228916,0.028614458,0.015060241,664
IGRP_WF_30_Kf_dist,0.09939759,0.06626506,0.040662651,0.02560241,0.019578313,664
IGRP_WF_31_Kf_dist,0.263554217,0.201807229,0.137048193,0.05873494,0.030120482,664
IGRP_WF_32_Kf_dist,0.088855422,0.064759036,0.043674699,0.027108434,0.010542169,664
IGRP_WF_33_Mc_dist,0.234939759,0.200301205,0.105421687,0.073795181,0.040662651,664
IGRP_WF_34_Mc_dist,0.185240964,0.144578313,0.079819277,0.043674699,0.016566265,664
IGRP_WF_35_Mc_dist,0.278614458,0.21686747,0.186746988,0.097891566,0.061746988,664
IGRP_WF_36_Mc_dist,0.189759036,0.167168675,0.087349398,0.06626506,0.042168675,664
IGRP_WF_37_Mc_dist,0.266566265,0.213855422,0.137048193,0.088855422,0.052710843,664
IGRP_WF_38_Mc_dist,0.106927711,0.088855422,0.042168675,0.021084337,0.00753012,664
IGRP_WF_39_Mc_dist,0.22439759,0.170180723,0.121987952,0.085843373,0.045180723,664
IGRP_WF_3_Kf_dist,0.237951807,0.176204819,0.138554217,0.096385542,0.064759036,664
IGRP_WF_40_Mc_dist,0.176204819,0.096385542,0.067771084,0.043674699,0.015060241,664
IGRP_WF_41_Mc_dist,0.239457831,0.19126506,0.149096386,0.075301205,0.048192771,664
IGRP_WF_42_Mc_dist,0.180722892,0.111445783,0.081325301,0.052710843,0.016566265,664
IGRP_WF_43_Mc_dist,0.237951807,0.167168675,0.128012048,0.094879518,0.070783133,664
IGRP_WF_44_Mc_dist,0.197289157,0.118975904,0.082831325,0.05873494,0.03313253,664
IGRP_WF_45_Mc_dist,0.231927711,0.152108434,0.126506024,0.084337349,0.045180723,664
IGRP_WF_46_Mc_dist,0.111445783,0.084337349,0.052710843,0.022590361,0.016566265,664
IGRP_WF_47_Mc_dist,0.213855422,0.167168675,0.125,0.094879518,0.05873494,664
IGRP_WF_48_Mc_dist,0.161144578,0.079819277,0.052710843,0.034638554,0.012048193,664
IGRP_WF_49_Mc_dist,0.256024096,0.195783133,0.168674699,0.082831325,0.052710843,664
IGRP_WF_4_Kf_dist,0.177710843,0.103915663,0.081325301,0.054216867,0.037650602,664
IGRP_WF_50_Mc_dist,0.155120482,0.09186747,0.075301205,0.049698795,0.024096386,664
IGRP_WF_51_Mc_dist,0.230421687,0.185240964,0.144578313,0.102409639,0.075301205,664
IGRP_WF_52_Mc_dist,0.186746988,0.109939759,0.087349398,0.070783133,0.039156627,664
IGRP_WF_53_Mc_dist,0.230421687,0.153614458,0.109939759,0.064759036,0.042168675,664
IGRP_WF_54_Mc_dist,0.128012048,0.084337349,0.046686747,0.02560241,0.009036145,664
IGRP_WF_55_Mc_dist,0.219879518,0.167168675,0.128012048,0.097891566,0.061746988,664
IGRP_WF_56_Mc_dist,0.126506024,0.085843373,0.054216867,0.039156627,0.015060241,664
IGRP_WF_57_Mc_dist,0.213855422,0.179216867,0.15060241,0.084337349,0.051204819,664
IGRP_WF_58_Mc_dist,0.176204819,0.103915663,0.09186747,0.057228916,0.018072289,664
IGRP_WF_59_Mc_dist,0.24246988,0.207831325,0.131024096,0.096385542,0.061746988,664
IGRP_WF_5_Kf_dist,0.278614458,0.173192771,0.131024096,0.096385542,0.05873494,664
IGRP_WF_60_Mc_dist,0.13253012,0.111445783,0.078313253,0.057228916,0.031626506,664
IGRP_WF_61_Mc_dist,0.182228916,0.146084337,0.11746988,0.072289157,0.049698795,664
IGRP_WF_62_Mc_dist,0.114457831,0.088855422,0.049698795,0.024096386,0.00753012,664
IGRP_WF_63_Mc_dist,0.236445783,0.170180723,0.135542169,0.09939759,0.064759036,664
IGRP_WF_64_Mc_dist,0.125,0.087349398,0.05873494,0.03313253,0.012048193,664
IGRP_WF_65_Mc_dist,0.233433735,0.186746988,0.106927711,0.070783133,0.052710843,664
IGRP_WF_66_Mc_dist,0.18373494,0.111445783,0.075301205,0.048192771,0.022590361,664
IGRP_WF_67_Mc_dist,0.254518072,0.209337349,0.170180723,0.087349398,0.048192771,664
IGRP_WF_68_Mc_dist,0.186746988,0.156626506,0.081325301,0.052710843,0.019578313,664
IGRP_WF_69_Mc_dist,0.140060241,0.105421687,0.06626506,0.03313253,0.021084337,664
IGRP_WF_6_Kf_dist,0.173192771,0.096385542,0.064759036,0.037650602,0.019578313,664
IGRP_WF_70_Mc_dist,0.061746988,0.037650602,0.019578313,0.016566265,0.004518072,664
IGRP_WF_71_Mc_dist,0.19126506,0.094879518,0.063253012,0.037650602,0.016566265,664
IGRP_WF_72_Mc_dist,0.094879518,0.061746988,0.036144578,0.018072289,0.010542169,664
IGRP_WF_73_Mc_dist,0.246987952,0.204819277,0.155120482,0.084337349,0.049698795,664
IGRP_WF_74_Mc_dist,0.131024096,0.097891566,0.067771084,0.042168675,0.019578313,664
IGRP_WF_75_Mc_dist,0.27560241,0.240963855,0.144578313,0.094879518,0.054216867,664
IGRP_WF_76_Mc_dist,0.120481928,0.093373494,0.069277108,0.045180723,0.018072289,664
IGRP_WF_77_Mc_dist,0.195783133,0.100903614,0.072289157,0.046686747,0.019578313,664
IGRP_WF_78_Mc_dist,0.102409639,0.057228916,0.030120482,0.024096386,0.015060241,664
IGRP_WF_79_Mc_dist,0.152108434,0.105421687,0.079819277,0.040662651,0.02560241,664
IGRP_WF_7_Kf_dist,0.322289157,0.212349398,0.138554217,0.093373494,0.060240964,664
IGRP_WF_80_Mc_dist,0.090361446,0.069277108,0.043674699,0.02560241,0.013554217,664
IGRP_WF_81_Mc_dist,0.22439759,0.185240964,0.138554217,0.06626506,0.037650602,664
IGRP_WF_82_Mc_dist,0.106927711,0.073795181,0.051204819,0.019578313,0.006024096,664
IGRP_WF_83_Mc_dist,0.246987952,0.207831325,0.161144578,0.078313253,0.045180723,664
IGRP_WF_84_Mc_dist,0.168674699,0.143072289,0.060240964,0.036144578,0.013554217,664
IGRP_WF_85_Mc_dist,0.129518072,0.084337349,0.05873494,0.02560241,0.009036145,664
IGRP_WF_86_Mc_dist,0.049698795,0.03313253,0.016566265,0.009036145,0.001506024,664
IGRP_WF_87_Mc_dist,0.167168675,0.11746988,0.079819277,0.051204819,0.022590361,664
IGRP_WF_88_Mc_dist,0.078313253,0.048192771,0.031626506,0.018072289,0.010542169,664
IGRP_WF_89_Mc_dist,0.25,0.194277108,0.155120482,0.082831325,0.045180723,664
IGRP_WF_8_Kf_dist,0.108433735,0.060240964,0.046686747,0.034638554,0.010542169,664
IGRP_WF_90_Mc_dist,0.114457831,0.085843373,0.051204819,0.028614458,0.009036145,664
IGRP_WF_91_Mc_dist,0.245481928,0.212349398,0.105421687,0.064759036,0.039156627,664
IGRP_WF_92_Mc_dist,0.164156627,0.123493976,0.045180723,0.027108434,0.012048193,664
IGRP_WF_93_Mc_dist,0.207831325,0.109939759,0.06626506,0.034638554,0.021084337,664
IGRP_WF_94_Mc_dist,0.06626506,0.034638554,0.018072289,0.010542169,0.003012048,664
IGRP_WF_95_Mc_dist,0.168674699,0.103915663,0.069277108,0.040662651,0.018072289,664
IGRP_WF_96_Mc_dist,0.09939759,0.055722892,0.034638554,0.018072289,0.003012048,664
IGRP_WF_9_Kf_dist,0.289156627,0.234939759,0.195783133,0.111445783,0.06626506,664
