data_label,threshold,sample_name,median,IQR,top_greater_than_bottom_count
tp8,50,t50_pln_spt,0.18602261048304217,0.042394655704008216,5
tp8,50,t50_pln_igg,0.2726199842643588,0.08890637293469708,5
tp8,60,t60_pln_spt,0.14850976361767726,0.06038026721479961,7
tp8,60,t60_pln_igg,0.17427222659323366,0.09913453973249409,7
tp8,70,t70_pln_spt,0.09249743062692704,0.04406474820143885,9
tp8,70,t70_pln_igg,0.10424862313139263,0.06294256490952006,9
tp8,80,t80_pln_spt,0.06963001027749229,0.015416238437821167,19
tp8,80,t80_pln_igg,0.05428796223446106,0.03383162863886703,19
tp8,90,t90_pln_spt,0.051130524152106886,0.00835046248715314,24
tp8,90,t90_pln_igg,0.013375295043273014,0.014162077104642016,24
tp14,50,t50_pln_spt,0.19707091469681398,0.024794450154162456,1
tp14,50,t50_pln_igg,0.28481510621557826,0.03029110936270657,1
tp14,60,t60_pln_spt,0.15339157245632068,0.037384378211716335,2
tp14,60,t60_pln_igg,0.24036191974822974,0.03619197482297398,2
tp14,70,t70_pln_spt,0.12744090441932168,0.04560637204522096,4
tp14,70,t70_pln_igg,0.18646734854445318,0.04287962234461054,4
tp14,80,t80_pln_spt,0.07297019527235354,0.039825282631038,9
tp14,80,t80_pln_igg,0.14476789929189615,0.10955940204563337,9
tp14,90,t90_pln_spt,0.049075025693730734,0.015544707091469684,18
tp14,90,t90_pln_igg,0.020849724626278522,0.04878048780487805,18
tp8,50,t50_bld_spt,0.2701908957415566,0.04955947136563876,24
tp8,50,t50_bld_igg,0.23493975903614456,0.06400602409638559,24
tp8,60,t60_bld_spt,0.22466960352422907,0.057635829662261384,23
tp8,60,t60_bld_igg,0.1890060240963855,0.05760542168674698,23
tp8,70,t70_bld_spt,0.17327459618208518,0.04478707782672539,24
tp8,70,t70_bld_igg,0.12575301204819278,0.059864457831325324,24
tp8,80,t80_bld_spt,0.13289280469897208,0.030469897209985317,24
tp8,80,t80_bld_igg,0.07680722891566266,0.02597891566265058,24
tp8,90,t90_bld_spt,0.09104258443465492,0.018355359765051385,24
tp8,90,t90_bld_igg,0.045180722891566265,0.013930722891566272,24
tp14,50,t50_bld_spt,0.28193832599118945,0.0205580029368575,24
tp14,50,t50_bld_igg,0.25225903614457834,0.03576807228915663,24
tp14,60,t60_bld_spt,0.2312775330396476,0.03560939794419973,22
tp14,60,t60_bld_igg,0.20180722891566266,0.06061746987951805,22
tp14,70,t70_bld_spt,0.18208516886930984,0.03267254038179146,23
tp14,70,t70_bld_igg,0.14457831325301207,0.051957831325301226,23
tp14,80,t80_bld_spt,0.12701908957415564,0.02202643171806168,23
tp14,80,t80_bld_igg,0.07906626506024096,0.031249999999999986,23
tp14,90,t90_bld_spt,0.08076358296622614,0.027165932452276054,24
tp14,90,t90_bld_igg,0.048192771084337345,0.025225903614457847,24
tp8,50,t50_panc_spt,0.3460661345496009,0.06399657924743446,7
tp8,50,t50_panc_igg,0.39085545722713866,0.06747787610619471,7
tp8,60,t60_panc_spt,0.3010262257696693,0.03320980615735469,10
tp8,60,t60_panc_igg,0.3458702064896755,0.17846607669616518,10
tp8,70,t70_panc_spt,0.2759407069555302,0.02551311288483471,16
tp8,70,t70_panc_igg,0.17883480825958703,0.1816002949852507,16
tp8,80,t80_panc_spt,0.24401368301026227,0.019954389965792435,23
tp8,80,t80_panc_igg,0.1261061946902655,0.02359882005899705,23
tp8,90,t90_panc_spt,0.21322690992018245,0.0370581527936146,23
tp8,90,t90_panc_igg,0.0918141592920354,0.034107669616519176,23
tp14,50,t50_panc_spt,0.4039338654503991,0.053164196123147156,13
tp14,50,t50_panc_igg,0.403023598820059,0.02986725663716805,13
tp14,60,t60_panc_spt,0.3415051311288484,0.04290193842645379,11
tp14,60,t60_panc_igg,0.36651917404129797,0.1720132743362833,11
tp14,70,t70_panc_spt,0.2830672748004561,0.039196123147092365,13
tp14,70,t70_panc_igg,0.1721976401179941,0.18750000000000003,13
tp14,80,t80_panc_spt,0.24486887115165337,0.02180729760547323,20
tp14,80,t80_panc_igg,0.13421828908554573,0.028945427728613554,20
tp14,90,t90_panc_spt,0.1847206385404789,0.046180159635119705,24
tp14,90,t90_panc_igg,0.08185840707964603,0.023414454277286112,24
